9 280 675
6 103 -0.165129 -0.164096
6 261 -0.335477 -0.139758
8 261 -0.278897 -0.199387
7 262 -0.342471 -0.0507936
8 262 -0.353269 -0.121299
7 263 0.420564 0.175394
8 263 0.510213 0.115281
7 264 0.327859 0.197809
8 264 0.410784 0.141568
7 265 -0.459626 0.063319
8 265 -0.464516 0.0193041
7 266 -0.481019 0.00830042
8 266 -0.4963 -0.0467181
8 90 -0.353025 -0.0618788
7 156 -0.330042 0.0205268
8 199 -0.495322 -0.0472071
7 267 -0.123442 -0.127412
8 267 -0.101291 -0.210942
7 268 0.342325 0.20221
8 268 0.425943 0.146458
7 269 0.354061 0.0378882
8 269 0.447948 -0.0313618
8 69 -0.525542 -0.0419253
7 270 -0.458648 0.0513861
8 270 -0.463577 0.00525857
7 271 -0.459352 0.0517382
8 271 -0.465267 0.00525861
7 272 -0.457239 0.0559636
8 272 -0.462732 0.0128644
7 273 -0.345279 -0.0517847
8 273 -0.356264 -0.121504
7 274 0.325637 0.197938
8 274 0.406755 0.139627
7 275 -0.457662 0.0559637
8 275 -0.463239 0.0123573
7 276 -0.305565 -0.0885458
8 276 -0.305058 -0.167139
7 73 -0.29289 -0.0479817
7 228 0.373801 0.0356817
7 277 -0.128119 -0.121504
8 277 -0.107332 -0.203646
7 278 0.312455 0.179684
8 278 0.391545 0.12188
7 279 -0.0343256 -0.0278011
8 279 0.00582789 -0.0971657
160 134 116
68 20 4
54 32 16
152 134 98
72 51 45
124 49 40
46 21 8
40 18 10
90 66 57
152 128 110
42 16 12
143 132 94
172 145 140
160 140 119
168 114 88
34 18 10
62 16 2
162 104 78
45 22 14
28 14 14
158 103 80
160 109 80
157 131 110
28 17 17
178 151 138
160 104 80
134 111 90
62 19 6
79 38 32
88 32 15
162 108 92
114 86 81
112 43 34
83 28 12
230 212 207
164 112 97
84 18 6
114 94 70
77 20 3
198 179 172
174 132 116
150 135 126
144 134 100
163 112 86
109 30 21
194 139 112
172 115 96
168 142 121
158 111 97
87 30 15
72 32 24
53 13 3
28 16 14
184 154 146
160 143 122
26 13 10
123 98 76
158 109 90
214 161 137
164 134 111
166 146 131
42 16 8
156 140 124
150 134 118
153 135 121
203 148 117
162 140 140
160 146 128
165 140 138
160 143 128
138 88 70
152 138 125
34 18 12
192 138 108
136 86 67
160 144 128
150 126 104
48 29 24
176 116 90
60 40 34
48 17 16
154 126 122
46 26 8
32 12 8
156 130 124
172 116 96
157 143 144
61 16 3
158 139 108
165 133 111
160 131 115
76 54 48
26 17 8
32 12 8
28 14 10
32 17 14
168 140 124
149 136 97
28 10 8
50 30 15
119 112 124
154 138 126
158 116 116
146 95 72
192 135 103
45 16 14
170 144 138
158 132 117
126 108 97
196 129 100
32 14 1
160 132 126
162 136 122
36 14 16
188 133 100
62 20 9
190 136 104
188 148 98
169 146 139
49 16 16
198 146 103
159 140 124
142 130 94
158 130 109
196 142 108
174 150 138
64 30 30
165 110 86
20 8 0
134 103 92
39 20 6
188 148 95
16 12 11
63 40 29
144 132 111
42 20 10
130 110 102
224 210 200
144 118 106
54 28 14
164 136 118
114 106 113
50 23 14
148 126 118
194 126 96
46 7 3
160 128 121
166 126 112
250 236 230
170 150 128
162 134 120
56 36 22
190 128 96
163 133 118
54 8 0
27 10 6
162 140 120
63 42 29
32 18 11
42 16 5
36 20 11
34 16 5
46 10 4
192 133 102
42 17 6
188 143 100
132 107 96
12 8 6
132 74 56
156 126 116
24 13 8
81 35 21
82 28 12
190 146 96
46 20 13
157 101 77
190 160 140
54 42 34
42 22 14
55 26 26
224 202 195
64 17 4
48 28 14
244 224 218
170 144 134
172 166 166
92 70 62
44 20 8
183 132 118
179 122 104
41 21 9
42 20 8
63 32 18
65 24 8
63 20 6
56 10 4
32 17 14
46 28 20
176 148 134
135 117 111
13 9 4
172 118 102
158 104 84
48 28 18
164 112 98
154 101 78
34 11 6
54 34 18
13 6 2
32 12 7
74 56 53
64 18 4
144 130 103
48 32 25
158 128 118
29 11 6
137 84 52
24 14 6
63 48 44
48 28 24
166 140 120
161 142 118
167 115 98
60 26 24
34 18 12
24 12 6
151 132 135
26 13 6
53 26 20
156 143 116
52 32 20
56 36 34
138 116 104
44 23 12
160 108 94
58 33 24
166 136 133
43 18 8
63 44 36
22 6 0
53 34 19
56 33 18
157 136 112
34 11 2
30 8 2
88 63 52
38 14 8
62 14 0
28 14 4
182 120 102
179 122 100
34 8 2
26 13 9
195 134 116
36 14 6
190 148 94
158 108 84
32 22 14
176 118 102
168 142 122
118 113 120
150 95 74
158 138 114
57 29 17
33 10 7
54 20 20
152 134 119
172 118 91
34 20 12
56 16 4
162 122 120
156 129 125
154 138 134
155 144 118
32 13 8
153 140 135
170 110 90
55 35 17
116 58 60
28 8 5
